;;;;;;;;;;;;;;;;;;;;
State Approved Textbook List 2007;;;;;;;;;;;;;;;;;;;;
3/25/2008;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Barrington;;;;Foreign ;;0838450989;;Mannual de gramatica 3rd Edition;;;;;;Dozier;;;Thomson Heinle;;;03
Barrington;;;;Foreign ;;0838498329;;Manual de gramatica 2nd Edition;;;;;;Dozier;;;Heinle & Heinle;;;99
Barrington;;;;Foreign ;;066921521X;;Moments litteraires;;;;;;Hirsch;;;McDougal;;;92
Barrington;;;;Foreign ;;0195215508;;Oxford Latin Course, Part 1;;;;;;Ullman;;;Oxford Univ. Press;;;96
Barrington;;;;Foreign ;;0195215516;;Oxford Latin Course, Part 2;;;;;;Ullman;;;Oxford Univ. Press;;;96
Barrington;;;;Foreign ;;080131190X;;Pa Tout Lemonde franacophone;;;;;;Herbst;;;Longman;;;96
Barrington;;;;Foreign ;;0030722365;;Perspectivas (Spanish) 5th Edition;;;;;;Kiddle, Wegman;;;Delta Systems;;;93
Barrington;;;;Foreign ;;0030339588;;Perspectivas 7th Edition;;;;;;Kiddle, Wegmann;;;Thomson Heinle;;;02
Barrington;;;;Foreign ;;0131016783;;Realidades, Level 1;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359513;;Realidades, Level 2;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359688;;Realidades, Level 3;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359661;;Realidades, Level A;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;013035967X;;Realidades, Level B;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130220556;;Sans detour;;;;;;Gac-Artigas;;;PRENTICE HALL;;;00
Barrington;;;;Foreign ;;0070572275;;Spanish Vocabulary 2nd Edition;;;;;;Schmitt;;;MCGRAW HILL;;;97
Barrington;;;;Foreign ;;0026465116;;Tesoro Literario;;;;;;Adey;;;Glencoe;;;97
Barrington;;;;Foreign ;;0553210416;;The Aeneid of Virgil;;;;;;Mondebaum;;;Bontarn;;;81
Barrington;;;;Foreign ;;0673218392;;Tous les poemes pour le cours avance;;;;;;Hurtgen;;;Scott Foresman;;;92
Barrington;;;;Foreign ;;0801309727;;Una Vez Mas (Spanish) 2nd Edition;;;;;;Couch;;;PRENTICE HALL;;;93
Barrington;;;;Foreign ;;0865164339;;Vergil's Aeneid: Books 1-VI (Pharr);;;;;;Pharr;;;Bolchazy-Carducci;;;98
Barrington;;;;History/Socia;;0195153332;;A History of US, Book 8;;;;;;Hakim;;;Oxford Univ Press;;;03
Barrington;;;;History/Socia;;0195153359;;A History of US, Book 9;;;;;;Hakim;;;Oxford Univ Press;;;03
Barrington;;;;History/Socia;;0021488045;;A Nation Grows;;;;;;Banks;;;MCGRAW HILL;;;99
Barrington;;;;History/Socia;;0072424362;;American History: A Survey;;;;;;Brinkley;;;MCGRAW HILL;;;03
Barrington;;;;History/Socia;;0131116363;;Cultural Anthropology 11th Ed.;;;;;;Ember;;;PRENTICE HALL;;;03
Barrington;;;;History/Socia;;013181544X;;Economics: Principles in Action;;;;;;O'Sulivan;;;PRENTICE HALL;;;05
Barrington;;;;History/Socia;;0395688272;;History of the World;;;;;;Perry;;;McDougal;;;95
Barrington;;;;History/Socia;;0130370487;;Magruder's American Government;;;;;;Magruder;;;PRENTICE HALL;;;03
Barrington;;;;History/Socia;;0618061339;;Major Problems in American History Vol I;;;;;;Hoffman;;;HOUGHTON;;;03
Barrington;;;;History/Socia;;0618061347;;Major Problems in American History Vol II;;;;;;Hoffman;;;HOUGHTON;;;03
Barrington;;;;History/Socia;;0877208913;;Psychology: A Way to Grow;;;;;;Green;;;AMSCO;;;95
Barrington;;;;History/Socia;;032801852X;;Reading - Fantastic Voyage - Gr. 5;;;;;;Afflerbach;;;Scott Foresman;;;02
Barrington;;;;History/Socia;;0328039675;;Reading - Seeing is Believing Gr. 4;;;;;;Afflerbach;;;Scott Foresman;;;02
Barrington;;;;History/Socia;;0070112258;;Sociology: Understanding Sociology;;;;;;Calhoun;;;Glencoe/McGraw Hill;;;99
Barrington;;;;History/Socia;;0078743894;;The American Journey;;;;;;Appleby, Brinkley;;;Glencoe;;;07
Barrington;;;;History/Socia;;0078743508;;The American Vision;;;;;;Appleby, Brinkley;;;Glencoe;;;07
Barrington;;;;History/Socia;;0618042458;;The Human Record Vol I;;;;;;Andrea;;;HOUGHTON;;;03
Barrington;;;;History/Socia;;0618042474;;The Human Record Vol II;;;;;;Andrea;;;HOUGHTON;;;03
Barrington;;;;History/Socia;;0072424354;;Traditions & Encounters;;;;;;Bentley;;;MCGRAW HILL;;;03
Barrington;;;;History/Socia;;0078607027;;World History;;;;;;Spielvogel;;;Glencoe;;;05
Barrington;;;;History/Socia;;78688752;;The American Journey to WW I  Vol. 1;;;;;;;;Glencoe;;;2006;
Barrington;;;;Mathematics;;0078228875;;Algebra 2;;;;;;Collins;;;Glencoe;;;01
Barrington;;;;Mathematics;;0395771188;;Algebra 2 (Honors);;;;;;Dolciani;;;McDougal/Houghton;;;97
Barrington;;;;Mathematics;;0078228476;;Algebra I Part I;;;;;;Collins;;;Glencoe;;;01
Barrington;;;;Mathematics;;0078228492;;Algebra I Part II;;;;;;Collins;;;Glencoe;;;01
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Page 2 of 141;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Barrington;;;;Mathematics;;1879233215;;An Intro to Using Microsoft Visual Basic;;;;;;Brown;;;Lawrenceville;;;01
Barrington;;;;Mathematics;;020155478X;;CALCULUS;;;;;;FINNEY;;;ADDISON WESLEY;;;95
Barrington;;;;Mathematics;;0201441403;;Calculus (AP Calc BC);;;;;;Demana;;;ADDISON WESLEY;;;00
Barrington;;;;Mathematics;;0321227573;;College Algebra;;;;;;Lial;;;Pearson/Addison;;;05
Barrington;;;;Mathematics;;0673234576;;CONSUMER & CAREER MATHEMATICS;;;;;;BOSLTER;;;SCOTT FORESMAN;;;89
Barrington;;;;Mathematics;;1559534591;;Discovering Geometry;;;;;;Serra;;;Key Curriculum Press;;;03
Barrington;;;;Mathematics;;157039914X;;Everyday Math Journal 1 - Gr. 5;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399158;;Everyday Math Journal 2 - Gr. 5;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399069;;Everyday Math Journal Gr. 4 - Book 1;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399077;;Everyday Math Journal Gr. 4 - Book 2;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399115;;Everyday Math Resource Book Gr 4;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399190;;Everyday Math Resource Book Gr. 5;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399220;;EVERYDAY MATHEMATICS - GR 6 Journal ;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570399239;;EVERYDAY MATHEMATICS - GR 6 Journal ;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;1570398216;;Everyday Mathematics Gr. 1 (1);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398224;;Everyday Mathematics Gr. 1 (2);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398313;;Everyday Mathematics Gr. 2 (1);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398305;;Everyday Mathematics Gr. 2 (2);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398399;;Everyday Mathematics Gr. 3 (1);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398402;;Everyday Mathematics Gr. 3 (2);;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570398461;;Everyday Mathematics Gr. 3 Student ;;;;;;Univ of Chicago;;;Everyday Learning;;;01
Barrington;;;;Mathematics;;1570399271;;EVERYDAY MATHEMATICS-GR 6;;;;;;Univ of Chicago;;;Everyday Learning;;;02
Barrington;;;;Mathematics;;039577120X;;GEOMETRY;;;;;;JURGENSEN;;;MCDOUGAL;;;97
Barrington;;;;Mathematics;;1570398569;;Impact Mathematics Course 2;;;;;;Educational Dev. Ctr.;;;Glencoe;;;00
Barrington;;;;Mathematics;;1570398615;;Impact Mathematics Course 3 - Gr. 8;;;;;;Educational Dev. Ctr.;;;Glencoe;;;01
Barrington;;;;Mathematics;;0131016210;;Java How to Program;;;;;;Deitel;;;PRENTICE HALL;;;03
Barrington;;;;Mathematics;;0395771234;;Mathematical Connections  - Pre Algebra;;;;;;GARDELLA;;;MCDOUGAL;;;97
Barrington;;;;Mathematics;;0028242270;;MERRILL ALGEBRA 2;;;;;;FOSTER;;;MCGRAW HILL;;;95
Barrington;;;;Mathematics;;0028241789;;MERRILL ALGEBRA I;;;;;;FOSTER;;;MCGRAW HILL;;;95
Barrington;;;;Mathematics;;0201870126;;Precalculus 4th Edition;;;;;;Demana;;;Pearson/Addison;;;97
Barrington;;;;Mathematics;;032113186X;;Precalculus 6th Edition (Honors);;;;;;Demana;;;Pearson/Addison;;;04
Barrington;;;;Mathematics;;0201614774;;Statistics;;;;;;Triola;;;ADDISON WESLEY;;;01
Barrington;;;;Mathematics;;0673995534;;Triginometry;;;;;;Lial;;;Addison Wesley;;;97
Barrington;;;;Mathematics;;0321057597;;Trigonometry - 7th Ed.;;;;;;Lial;;;ADDISON WESLEY;;;01
Barrington;;;;Science;;0131662554;;Biology;;;;;;Miller;;;PRENTICE HALL;;;06
Barrington;;;;Science;;0534492762;;Biology;;;;;;Solomon;;;Thomson;;;05
Barrington;;;;Science;;0130509876;;Chemistry;;;;;;Brown;;;Prentice Hall;;;00
Barrington;;;;Science;;0028274520;;Chemistry;;;;;;Phillips;;;Glencoe;;;97
Barrington;;;;Science;;0138281874;;Chemistry;;;;;;Lemay;;;Prentice Hall;;;96
Barrington;;;;Science;;0130615676;;Essentials of Anatomy & Physiology 3rd Ed.;;;;;;Martini;;;Prentice Hall;;;03
Barrington;;;;Science;;0130366145;;Physical Science;;;;;;Wysession;;;PRENTICE HALL;;;04
Barrington;;;;Science;;0030505976;;PHYSICS;;;;;;SERWAY;;;HOLT;;;99
Barrington;;;;Science;;0136331246;;PHYSICS 1st Ed.;;;;;;Walker;;;PRENTICE HALL;;;02
Barrington;;;;Science;;0675066182;;Science Connections II Gr. 6;;;;;;Feather;;;Merrill;;;90
Bristol;;;;English/Lang;;1576215407;;Sipps Beginning Level;;;;;;;;Developmental Studies;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Page 3 of 141;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
